Book,Author,Amount,Price,Book1,Author1,Amount1,Price1,Book2,Author2,Amount2,Price2,Book3,Author3,Amount3,Price3,Book4,Author4,Amount4,Price4
The ONE Thing,Gary Keller,"-65,89090909",11.30,The ONE Thing,Gary Keller,"-65,89090909",11.30,The ONE Thing,Gary Keller,"-65,89090909",11.30,The ONE Thing,Gary Keller,"-65,89090909",11.30,The ONE Thing,Gary Keller,"-65,89090909",11.30
The Compound Effect,Darren Hardy,"-66,08484848",9.61,The Compound Effect,Darren Hardy,"-66,08484848",9.61,The Compound Effect,Darren Hardy,"-66,08484848",9.61,The Compound Effect,Darren Hardy,"-66,08484848",9.61,The Compound Effect,Darren Hardy,"-66,08484848",9.61
The 7 Habits of Highly Effective People,Stephen R. Covey,"-66,27878788",23.61,The 7 Habits of Highly Effective People,Stephen R. Covey,"-66,27878788",23.61,The 7 Habits of Highly Effective People,Stephen R. Covey,"-66,27878788",23.61,The 7 Habits of Highly Effective People,Stephen R. Covey,"-66,27878788",23.61,The 7 Habits of Highly Effective People,Stephen R. Covey,"-66,27878788",23.61
The Miracle Morning,Hal Elrod,"-66,47272727",21.47,The Miracle Morning,Hal Elrod,"-66,47272727",21.47,The Miracle Morning,Hal Elrod,"-66,47272727",21.47,The Miracle Morning,Hal Elrod,"-66,47272727",21.47,The Miracle Morning,Hal Elrod,"-66,47272727",21.47
Influence: The Psychology of Persuasion,Robert B. Cialdini,"-66,66666667",12.112,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-66,66666667",12.112,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-66,66666667",12.112,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-66,66666667",12.112,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-66,66666667",12.112
The Compound Effect,Darren Hardy,"-66,86060606",9.59,The Compound Effect,Darren Hardy,"-66,86060606",9.59,The Compound Effect,Darren Hardy,"-66,86060606",9.59,The Compound Effect,Darren Hardy,"-66,86060606",9.59,The Compound Effect,Darren Hardy,"-66,86060606",9.59
The 7 Habits of Highly Effective People,Stephen R. Covey,"-67,05454545",23.59,The 7 Habits of Highly Effective People,Stephen R. Covey,"-67,05454545",23.59,The 7 Habits of Highly Effective People,Stephen R. Covey,"-67,05454545",23.59,The 7 Habits of Highly Effective People,Stephen R. Covey,"-67,05454545",23.59,The 7 Habits of Highly Effective People,Stephen R. Covey,"-67,05454545",23.59
The Miracle Morning,Hal Elrod,"-67,24848485",21.45,The Miracle Morning,Hal Elrod,"-67,24848485",21.45,The Miracle Morning,Hal Elrod,"-67,24848485",21.45,The Miracle Morning,Hal Elrod,"-67,24848485",21.45,The Miracle Morning,Hal Elrod,"-67,24848485",21.45
Influence: The Psychology of Persuasion,Robert B. Cialdini,"-67,44242424",12.110,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-67,44242424",12.110,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-67,44242424",12.110,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-67,44242424",12.110,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-67,44242424",12.110
The ONE Thing,Gary Keller,"-67,63636364",11.29,The ONE Thing,Gary Keller,"-67,63636364",11.29,The ONE Thing,Gary Keller,"-67,63636364",11.29,The ONE Thing,Gary Keller,"-67,63636364",11.29,The ONE Thing,Gary Keller,"-67,63636364",11.29
The Compound Effect,Darren Hardy,"-67,83030303",9.59,The Compound Effect,Darren Hardy,"-67,83030303",9.59,The Compound Effect,Darren Hardy,"-67,83030303",9.59,The Compound Effect,Darren Hardy,"-67,83030303",9.59,The Compound Effect,Darren Hardy,"-67,83030303",9.59
The 7 Habits of Highly Effective People,Stephen R. Covey,"-68,02424242",23.59,The 7 Habits of Highly Effective People,Stephen R. Covey,"-68,02424242",23.59,The 7 Habits of Highly Effective People,Stephen R. Covey,"-68,02424242",23.59,The 7 Habits of Highly Effective People,Stephen R. Covey,"-68,02424242",23.59,The 7 Habits of Highly Effective People,Stephen R. Covey,"-68,02424242",23.59
The Miracle Morning,Hal Elrod,"-68,21818182",21.45,The Miracle Morning,Hal Elrod,"-68,21818182",21.45,The Miracle Morning,Hal Elrod,"-68,21818182",21.45,The Miracle Morning,Hal Elrod,"-68,21818182",21.45,The Miracle Morning,Hal Elrod,"-68,21818182",21.45
Influence: The Psychology of Persuasion,Robert B. Cialdini,"-68,41212121",12.110,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-68,41212121",12.110,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-68,41212121",12.110,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-68,41212121",12.110,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-68,41212121",12.110
The ONE Thing,Gary Keller,"-68,60606061",11.29,The ONE Thing,Gary Keller,"-68,60606061",11.29,The ONE Thing,Gary Keller,"-68,60606061",11.29,The ONE Thing,Gary Keller,"-68,60606061",11.29,The ONE Thing,Gary Keller,"-68,60606061",11.29
The Compound Effect,Darren Hardy,"-68,8",9.60,The Compound Effect,Darren Hardy,"-68,8",9.60,The Compound Effect,Darren Hardy,"-68,8",9.60,The Compound Effect,Darren Hardy,"-68,8",9.60,The Compound Effect,Darren Hardy,"-68,8",9.60
The 7 Habits of Highly Effective People,Stephen R. Covey,"-68,99393939",23.60,The 7 Habits of Highly Effective People,Stephen R. Covey,"-68,99393939",23.60,The 7 Habits of Highly Effective People,Stephen R. Covey,"-68,99393939",23.60,The 7 Habits of Highly Effective People,Stephen R. Covey,"-68,99393939",23.60,The 7 Habits of Highly Effective People,Stephen R. Covey,"-68,99393939",23.60
The Miracle Morning,Hal Elrod,"-69,18787879",21.46,The Miracle Morning,Hal Elrod,"-69,18787879",21.46,The Miracle Morning,Hal Elrod,"-69,18787879",21.46,The Miracle Morning,Hal Elrod,"-69,18787879",21.46,The Miracle Morning,Hal Elrod,"-69,18787879",21.46
Influence: The Psychology of Persuasion,Robert B. Cialdini,"-69,38181818",12.111,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-69,38181818",12.111,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-69,38181818",12.111,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-69,38181818",12.111,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-69,38181818",12.111
The ONE Thing,Gary Keller,"-69,57575758",11.30,The ONE Thing,Gary Keller,"-69,57575758",11.30,The ONE Thing,Gary Keller,"-69,57575758",11.30,The ONE Thing,Gary Keller,"-69,57575758",11.30,The ONE Thing,Gary Keller,"-69,57575758",11.30
The Compound Effect,Darren Hardy,"-69,76969697",9.60,The Compound Effect,Darren Hardy,"-69,76969697",9.60,The Compound Effect,Darren Hardy,"-69,76969697",9.60,The Compound Effect,Darren Hardy,"-69,76969697",9.60,The Compound Effect,Darren Hardy,"-69,76969697",9.60
The 7 Habits of Highly Effective People,Stephen R. Covey,"-69,96363636",23.60,The 7 Habits of Highly Effective People,Stephen R. Covey,"-69,96363636",23.60,The 7 Habits of Highly Effective People,Stephen R. Covey,"-69,96363636",23.60,The 7 Habits of Highly Effective People,Stephen R. Covey,"-69,96363636",23.60,The 7 Habits of Highly Effective People,Stephen R. Covey,"-69,96363636",23.60
The Miracle Morning,Hal Elrod,"-70,15757576",21.46,The Miracle Morning,Hal Elrod,"-70,15757576",21.46,The Miracle Morning,Hal Elrod,"-70,15757576",21.46,The Miracle Morning,Hal Elrod,"-70,15757576",21.46,The Miracle Morning,Hal Elrod,"-70,15757576",21.46
Influence: The Psychology of Persuasion,Robert B. Cialdini,"-70,35151515",12.111,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-70,35151515",12.111,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-70,35151515",12.111,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-70,35151515",12.111,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-70,35151515",12.111
The ONE Thing,Gary Keller,"-70,54545455",11.30,The ONE Thing,Gary Keller,"-70,54545455",11.30,The ONE Thing,Gary Keller,"-70,54545455",11.30,The ONE Thing,Gary Keller,"-70,54545455",11.30,The ONE Thing,Gary Keller,"-70,54545455",11.30
The Compound Effect,Darren Hardy,"-70,73939394",9.61,The Compound Effect,Darren Hardy,"-70,73939394",9.61,The Compound Effect,Darren Hardy,"-70,73939394",9.61,The Compound Effect,Darren Hardy,"-70,73939394",9.61,The Compound Effect,Darren Hardy,"-70,73939394",9.61
The 7 Habits of Highly Effective People,Stephen R. Covey,"-70,93333333",23.61,The 7 Habits of Highly Effective People,Stephen R. Covey,"-70,93333333",23.61,The 7 Habits of Highly Effective People,Stephen R. Covey,"-70,93333333",23.61,The 7 Habits of Highly Effective People,Stephen R. Covey,"-70,93333333",23.61,The 7 Habits of Highly Effective People,Stephen R. Covey,"-70,93333333",23.61
The Miracle Morning,Hal Elrod,"-71,12727273",21.47,The Miracle Morning,Hal Elrod,"-71,12727273",21.47,The Miracle Morning,Hal Elrod,"-71,12727273",21.47,The Miracle Morning,Hal Elrod,"-71,12727273",21.47,The Miracle Morning,Hal Elrod,"-71,12727273",21.47
Influence: The Psychology of Persuasion,Robert B. Cialdini,"-71,32121212",12.112,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-71,32121212",12.112,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-71,32121212",12.112,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-71,32121212",12.112,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-71,32121212",12.112
The ONE Thing,Gary Keller,"-71,51515152",11.31,The ONE Thing,Gary Keller,"-71,51515152",11.31,The ONE Thing,Gary Keller,"-71,51515152",11.31,The ONE Thing,Gary Keller,"-71,51515152",11.31,The ONE Thing,Gary Keller,"-71,51515152",11.31
The Compound Effect,Darren Hardy,"-71,70909091",9.61,The Compound Effect,Darren Hardy,"-71,70909091",9.61,The Compound Effect,Darren Hardy,"-71,70909091",9.61,The Compound Effect,Darren Hardy,"-71,70909091",9.61,The Compound Effect,Darren Hardy,"-71,70909091",9.61
The 7 Habits of Highly Effective People,Stephen R. Covey,"-71,9030303",23.61,The 7 Habits of Highly Effective People,Stephen R. Covey,"-71,9030303",23.61,The 7 Habits of Highly Effective People,Stephen R. Covey,"-71,9030303",23.61,The 7 Habits of Highly Effective People,Stephen R. Covey,"-71,9030303",23.61,The 7 Habits of Highly Effective People,Stephen R. Covey,"-71,9030303",23.61
The Miracle Morning,Hal Elrod,"-72,0969697",21.47,The Miracle Morning,Hal Elrod,"-72,0969697",21.47,The Miracle Morning,Hal Elrod,"-72,0969697",21.47,The Miracle Morning,Hal Elrod,"-72,0969697",21.47,The Miracle Morning,Hal Elrod,"-72,0969697",21.47
Influence: The Psychology of Persuasion,Robert B. Cialdini,"-72,29090909",12.112,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-72,29090909",12.112,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-72,29090909",12.112,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-72,29090909",12.112,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-72,29090909",12.112
The ONE Thing,Gary Keller,"-72,48484848",11.31,The ONE Thing,Gary Keller,"-72,48484848",11.31,The ONE Thing,Gary Keller,"-72,48484848",11.31,The ONE Thing,Gary Keller,"-72,48484848",11.31,The ONE Thing,Gary Keller,"-72,48484848",11.31
The Compound Effect,Darren Hardy,"-72,67878788",9.62,The Compound Effect,Darren Hardy,"-72,67878788",9.62,The Compound Effect,Darren Hardy,"-72,67878788",9.62,The Compound Effect,Darren Hardy,"-72,67878788",9.62,The Compound Effect,Darren Hardy,"-72,67878788",9.62
The 7 Habits of Highly Effective People,Stephen R. Covey,"-72,87272727",23.62,The 7 Habits of Highly Effective People,Stephen R. Covey,"-72,87272727",23.62,The 7 Habits of Highly Effective People,Stephen R. Covey,"-72,87272727",23.62,The 7 Habits of Highly Effective People,Stephen R. Covey,"-72,87272727",23.62,The 7 Habits of Highly Effective People,Stephen R. Covey,"-72,87272727",23.62
The Miracle Morning,Hal Elrod,"-73,06666667",21.48,The Miracle Morning,Hal Elrod,"-73,06666667",21.48,The Miracle Morning,Hal Elrod,"-73,06666667",21.48,The Miracle Morning,Hal Elrod,"-73,06666667",21.48,The Miracle Morning,Hal Elrod,"-73,06666667",21.48
Influence: The Psychology of Persuasion,Robert B. Cialdini,"-73,26060606",12.113,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-73,26060606",12.113,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-73,26060606",12.113,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-73,26060606",12.113,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-73,26060606",12.113
The Compound Effect,Darren Hardy,"-73,45454545",9.60,The Compound Effect,Darren Hardy,"-73,45454545",9.60,The Compound Effect,Darren Hardy,"-73,45454545",9.60,The Compound Effect,Darren Hardy,"-73,45454545",9.60,The Compound Effect,Darren Hardy,"-73,45454545",9.60
The 7 Habits of Highly Effective People,Stephen R. Covey,"-73,64848485",23.60,The 7 Habits of Highly Effective People,Stephen R. Covey,"-73,64848485",23.60,The 7 Habits of Highly Effective People,Stephen R. Covey,"-73,64848485",23.60,The 7 Habits of Highly Effective People,Stephen R. Covey,"-73,64848485",23.60,The 7 Habits of Highly Effective People,Stephen R. Covey,"-73,64848485",23.60
The Miracle Morning,Hal Elrod,"-73,84242424",21.46,The Miracle Morning,Hal Elrod,"-73,84242424",21.46,The Miracle Morning,Hal Elrod,"-73,84242424",21.46,The Miracle Morning,Hal Elrod,"-73,84242424",21.46,The Miracle Morning,Hal Elrod,"-73,84242424",21.46
Influence: The Psychology of Persuasion,Robert B. Cialdini,"-74,03636364",12.111,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-74,03636364",12.111,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-74,03636364",12.111,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-74,03636364",12.111,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-74,03636364",12.111
The ONE Thing,Gary Keller,"-74,23030303",11.30,The ONE Thing,Gary Keller,"-74,23030303",11.30,The ONE Thing,Gary Keller,"-74,23030303",11.30,The ONE Thing,Gary Keller,"-74,23030303",11.30,The ONE Thing,Gary Keller,"-74,23030303",11.30
The Compound Effect,Darren Hardy,"-74,42424242",9.60,The Compound Effect,Darren Hardy,"-74,42424242",9.60,The Compound Effect,Darren Hardy,"-74,42424242",9.60,The Compound Effect,Darren Hardy,"-74,42424242",9.60,The Compound Effect,Darren Hardy,"-74,42424242",9.60
The 7 Habits of Highly Effective People,Stephen R. Covey,"-74,61818182",23.60,The 7 Habits of Highly Effective People,Stephen R. Covey,"-74,61818182",23.60,The 7 Habits of Highly Effective People,Stephen R. Covey,"-74,61818182",23.60,The 7 Habits of Highly Effective People,Stephen R. Covey,"-74,61818182",23.60,The 7 Habits of Highly Effective People,Stephen R. Covey,"-74,61818182",23.60
The Miracle Morning,Hal Elrod,"-74,81212121",21.46,The Miracle Morning,Hal Elrod,"-74,81212121",21.46,The Miracle Morning,Hal Elrod,"-74,81212121",21.46,The Miracle Morning,Hal Elrod,"-74,81212121",21.46,The Miracle Morning,Hal Elrod,"-74,81212121",21.46
Influence: The Psychology of Persuasion,Robert B. Cialdini,"-75,00606061",12.111,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-75,00606061",12.111,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-75,00606061",12.111,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-75,00606061",12.111,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-75,00606061",12.111
The ONE Thing,Gary Keller,"-75,2",11.30,The ONE Thing,Gary Keller,"-75,2",11.30,The ONE Thing,Gary Keller,"-75,2",11.30,The ONE Thing,Gary Keller,"-75,2",11.30,The ONE Thing,Gary Keller,"-75,2",11.30
The Compound Effect,Darren Hardy,"-75,39393939",9.61,The Compound Effect,Darren Hardy,"-75,39393939",9.61,The Compound Effect,Darren Hardy,"-75,39393939",9.61,The Compound Effect,Darren Hardy,"-75,39393939",9.61,The Compound Effect,Darren Hardy,"-75,39393939",9.61
The 7 Habits of Highly Effective People,Stephen R. Covey,"-75,58787879",23.61,The 7 Habits of Highly Effective People,Stephen R. Covey,"-75,58787879",23.61,The 7 Habits of Highly Effective People,Stephen R. Covey,"-75,58787879",23.61,The 7 Habits of Highly Effective People,Stephen R. Covey,"-75,58787879",23.61,The 7 Habits of Highly Effective People,Stephen R. Covey,"-75,58787879",23.61
The Miracle Morning,Hal Elrod,"-75,78181818",21.47,The Miracle Morning,Hal Elrod,"-75,78181818",21.47,The Miracle Morning,Hal Elrod,"-75,78181818",21.47,The Miracle Morning,Hal Elrod,"-75,78181818",21.47,The Miracle Morning,Hal Elrod,"-75,78181818",21.47
Influence: The Psychology of Persuasion,Robert B. Cialdini,"-75,97575758",12.112,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-75,97575758",12.112,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-75,97575758",12.112,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-75,97575758",12.112,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-75,97575758",12.112
The ONE Thing,Gary Keller,"-76,16969697",11.31,The ONE Thing,Gary Keller,"-76,16969697",11.31,The ONE Thing,Gary Keller,"-76,16969697",11.31,The ONE Thing,Gary Keller,"-76,16969697",11.31,The ONE Thing,Gary Keller,"-76,16969697",11.31
The Compound Effect,Darren Hardy,"-76,36363636",9.61,The Compound Effect,Darren Hardy,"-76,36363636",9.61,The Compound Effect,Darren Hardy,"-76,36363636",9.61,The Compound Effect,Darren Hardy,"-76,36363636",9.61,The Compound Effect,Darren Hardy,"-76,36363636",9.61
The 7 Habits of Highly Effective People,Stephen R. Covey,"-76,55757576",23.61,The 7 Habits of Highly Effective People,Stephen R. Covey,"-76,55757576",23.61,The 7 Habits of Highly Effective People,Stephen R. Covey,"-76,55757576",23.61,The 7 Habits of Highly Effective People,Stephen R. Covey,"-76,55757576",23.61,The 7 Habits of Highly Effective People,Stephen R. Covey,"-76,55757576",23.61
The Miracle Morning,Hal Elrod,"-76,75151515",21.47,The Miracle Morning,Hal Elrod,"-76,75151515",21.47,The Miracle Morning,Hal Elrod,"-76,75151515",21.47,The Miracle Morning,Hal Elrod,"-76,75151515",21.47,The Miracle Morning,Hal Elrod,"-76,75151515",21.47
Influence: The Psychology of Persuasion,Robert B. Cialdini,"-76,94545455",12.112,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-76,94545455",12.112,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-76,94545455",12.112,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-76,94545455",12.112,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-76,94545455",12.112
The ONE Thing,Gary Keller,"-77,13939394",11.31,The ONE Thing,Gary Keller,"-77,13939394",11.31,The ONE Thing,Gary Keller,"-77,13939394",11.31,The ONE Thing,Gary Keller,"-77,13939394",11.31,The ONE Thing,Gary Keller,"-77,13939394",11.31
